country,year_month,num_events,total_fatalities,battles,protests,violence_civilians
Mexico,2018-01-01,976,851,132,267,463
Mexico,2018-02-01,938,767,121,273,453
Mexico,2018-03-01,991,760,129,290,447
Mexico,2018-04-01,958,709,124,351,398
Mexico,2018-05-01,1148,756,122,430,497
Mexico,2018-06-01,1071,681,94,390,450
Mexico,2018-07-01,1076,850,126,309,496
Mexico,2018-08-01,1171,952,144,380,552
Mexico,2018-09-01,1219,789,152,448,503
Mexico,2018-10-01,1314,884,159,422,609
Mexico,2018-11-01,1005,731,125,289,492
Mexico,2018-12-01,1183,865,135,422,538
Mexico,2019-01-01,1139,991,140,320,581
Mexico,2019-02-01,1358,995,158,449,619
Mexico,2019-03-01,988,699,137,340,394
Mexico,2019-04-01,1073,778,124,351,475
Mexico,2019-05-01,1074,659,146,424,399
Mexico,2019-06-01,1108,741,115,419,483
Mexico,2019-07-01,1073,761,123,358,469
Mexico,2019-08-01,1162,785,133,438,467
Mexico,2019-09-01,1158,697,138,463,448
Mexico,2019-10-01,1237,790,123,501,503
Mexico,2019-11-01,1080,780,122,390,481
Mexico,2019-12-01,922,567,76,367,408
Mexico,2020-01-01,1017,721,115,347,476
Mexico,2020-02-01,1117,710,101,459,460
Mexico,2020-03-01,1108,694,105,456,459
Mexico,2020-04-01,995,674,103,324,476
Mexico,2020-05-01,1223,847,144,447,528
Mexico,2020-06-01,1319,816,115,606,497
Mexico,2020-07-01,1233,723,112,553,472
Mexico,2020-08-01,1187,668,99,544,449
Mexico,2020-09-01,1177,622,87,558,407
Mexico,2020-10-01,1005,646,75,446,375
Mexico,2020-11-01,1190,630,102,495,471
Mexico,2020-12-01,1024,642,115,415,411
Mexico,2021-01-01,1037,795,107,335,493
Mexico,2021-02-01,1069,676,95,433,445
Mexico,2021-03-01,1482,725,111,728,518
Mexico,2021-04-01,1324,723,113,599,501
Mexico,2021-05-01,1343,641,96,579,523
Mexico,2021-06-01,1283,770,87,466,549
Mexico,2021-07-01,1229,731,117,511,468
Mexico,2021-08-01,1035,644,73,445,434
Mexico,2021-09-01,1118,661,89,515,409
Mexico,2021-10-01,1269,645,94,590,447
Mexico,2021-11-01,1125,667,102,462,437
Mexico,2021-12-01,1138,591,98,490,429
Mexico,2022-01-01,1140,680,109,455,462
Mexico,2022-02-01,1147,606,90,506,413
Mexico,2022-03-01,1355,649,70,676,470
Mexico,2022-04-01,1171,611,84,506,429
Mexico,2022-05-01,1477,748,93,692,522
Mexico,2022-06-01,1328,733,92,556,515
Mexico,2022-07-01,1111,614,87,454,449
Mexico,2022-08-01,1152,651,91,434,512
Mexico,2022-09-01,1085,625,90,449,435
Mexico,2022-10-01,1245,709,93,512,523
Mexico,2022-11-01,1155,599,107,481,449
Mexico,2022-12-01,943,614,93,311,443
Mexico,2023-01-01,1167,697,130,430,454
Mexico,2023-02-01,1114,550,109,518,369
Mexico,2023-03-01,1182,639,105,542,412
Mexico,2023-04-01,974,619,86,348,442
Mexico,2023-05-01,1297,660,126,589,461
Mexico,2023-06-01,1292,555,113,683,392
Mexico,2023-07-01,1169,707,135,424,456
Mexico,2023-08-01,1227,700,116,461,487
Mexico,2023-09-01,1141,594,108,490,416
Mexico,2023-10-01,1203,545,100,580,404
Mexico,2023-11-01,933,479,101,381,337
Mexico,2023-12-01,895,531,109,339,333
Mexico,2024-01-01,957,601,108,366,372
Mexico,2024-02-01,1175,633,106,565,411
Mexico,2024-03-01,1060,627,83,437,415
Mexico,2024-04-01,1085,656,101,389,505
Mexico,2024-05-01,1360,696,106,607,509
Mexico,2024-06-01,1276,753,102,441,548
Mexico,2024-07-01,1229,733,133,424,536
Mexico,2024-08-01,1352,671,105,609,489
Mexico,2024-09-01,1332,745,140,591,470
Mexico,2024-10-01,1473,866,156,555,579
Mexico,2024-11-01,1302,762,129,455,516
Mexico,2024-12-01,1045,610,128,336,432
Myanmar,2018-01-01,121,34,52,19,6
Myanmar,2018-02-01,83,3,41,19,5
Myanmar,2018-03-01,93,7,43,13,8
Myanmar,2018-04-01,111,24,49,11,13
Myanmar,2018-05-01,129,49,62,26,12
Myanmar,2018-06-01,34,10,9,14,4
Myanmar,2018-07-01,83,24,35,16,13
Myanmar,2018-08-01,69,8,26,9,15
Myanmar,2018-09-01,99,29,21,44,21
Myanmar,2018-10-01,96,11,33,24,16
Myanmar,2018-11-01,73,21,37,13,9
Myanmar,2018-12-01,122,41,69,31,13
Myanmar,2019-01-01,98,57,40,21,14
Myanmar,2019-02-01,121,56,46,37,15
Myanmar,2019-03-01,164,141,79,27,29
Myanmar,2019-04-01,97,104,48,18,11
Myanmar,2019-05-01,122,229,31,42,20
Myanmar,2019-06-01,120,242,48,32,21
Myanmar,2019-07-01,160,207,63,60,13
Myanmar,2019-08-01,201,270,104,32,18
Myanmar,2019-09-01,153,51,65,35,24
Myanmar,2019-10-01,198,97,81,25,32
Myanmar,2019-11-01,173,67,74,31,22
Myanmar,2019-12-01,255,126,76,101,27
Myanmar,2020-01-01,200,91,62,50,31
Myanmar,2020-02-01,232,77,97,35,19
Myanmar,2020-03-01,203,148,55,19,39
Myanmar,2020-04-01,113,68,38,8,27
Myanmar,2020-05-01,97,35,29,2,28
Myanmar,2020-06-01,125,36,53,6,30
Myanmar,2020-07-01,86,29,23,4,23
Myanmar,2020-08-01,80,56,18,8,26
Myanmar,2020-09-01,130,30,43,10,31
Myanmar,2020-10-01,162,110,62,7,37
Myanmar,2020-11-01,67,11,8,12,14
Myanmar,2020-12-01,80,7,20,25,11
Myanmar,2021-01-01,127,22,28,32,22
Myanmar,2021-02-01,2014,70,38,1798,17
Myanmar,2021-03-01,1847,736,92,1273,131
Myanmar,2021-04-01,1436,483,203,629,111
Myanmar,2021-05-01,2215,859,300,895,168
Myanmar,2021-06-01,1488,709,178,523,221
Myanmar,2021-07-01,1233,876,193,536,158
Myanmar,2021-08-01,1288,816,199,445,198
Myanmar,2021-09-01,1843,1259,258,458,274
Myanmar,2021-10-01,1847,1770,269,424,290
Myanmar,2021-11-01,1809,1976,345,378,259
Myanmar,2021-12-01,1767,2217,340,348,232
Myanmar,2022-01-01,1905,2014,401,351,239
Myanmar,2022-02-01,1561,1756,308,333,161
Myanmar,2022-03-01,1559,2064,367,328,177
Myanmar,2022-04-01,1585,2218,392,273,229
Myanmar,2022-05-01,1770,2450,398,254,251
Myanmar,2022-06-01,1661,2170,382,245,248
Myanmar,2022-07-01,1606,2183,393,227,215
Myanmar,2022-08-01,1737,2281,422,283,236
Myanmar,2022-09-01,1818,1759,456,289,205
Myanmar,2022-10-01,1740,1796,383,279,244
Myanmar,2022-11-01,1765,1960,411,278,201
Myanmar,2022-12-01,1571,1454,346,251,164
Myanmar,2023-01-01,1710,1769,401,288,203
Myanmar,2023-02-01,1569,1724,401,268,170
Myanmar,2023-03-01,1572,2070,387,249,205
Myanmar,2023-04-01,1327,1902,350,195,159
Myanmar,2023-05-01,1448,1748,376,202,182
Myanmar,2023-06-01,1442,1746,384,174,176
Myanmar,2023-07-01,1605,1873,503,188,197
Myanmar,2023-08-01,1560,1645,456,150,203
Myanmar,2023-09-01,1512,1449,484,134,174
Myanmar,2023-10-01,1548,1706,468,146,174
Myanmar,2023-11-01,1960,2514,688,158,125
Myanmar,2023-12-01,1861,1619,497,113,155
Myanmar,2024-01-01,1705,1875,506,116,138
Myanmar,2024-02-01,1552,1583,421,155,149
Myanmar,2024-03-01,1656,2037,493,114,176
Myanmar,2024-04-01,1473,1758,454,76,161
Myanmar,2024-05-01,1320,1712,423,74,145
Myanmar,2024-06-01,1280,1803,441,97,116
Myanmar,2024-07-01,1426,2308,545,84,133
Myanmar,2024-08-01,1395,2203,475,101,132
Myanmar,2024-09-01,1180,1607,319,107,126
Myanmar,2024-10-01,1307,1017,359,102,136
Myanmar,2024-11-01,1475,1421,454,90,154
Myanmar,2024-12-01,1368,1142,374,91,232
Sudan,2018-01-01,73,22,7,24,20
Sudan,2018-02-01,43,87,9,6,18
Sudan,2018-03-01,70,93,28,5,21
Sudan,2018-04-01,49,104,15,1,26
Sudan,2018-05-01,53,97,13,11,16
Sudan,2018-06-01,75,236,24,12,35
Sudan,2018-07-01,61,111,16,1,34
Sudan,2018-08-01,31,24,3,3,14
Sudan,2018-09-01,51,54,12,4,30
Sudan,2018-10-01,62,88,10,5,38
Sudan,2018-11-01,49,66,10,0,25
Sudan,2018-12-01,132,72,5,82,19
Sudan,2019-01-01,161,68,12,122,16
Sudan,2019-02-01,161,36,9,126,15
Sudan,2019-03-01,151,58,12,103,26
Sudan,2019-04-01,136,69,12,107,7
Sudan,2019-05-01,131,34,6,100,15
Sudan,2019-06-01,147,190,11,109,16
Sudan,2019-07-01,180,59,5,138,26
Sudan,2019-08-01,80,56,7,51,17
Sudan,2019-09-01,110,27,2,90,12
Sudan,2019-10-01,96,25,3,53,34
Sudan,2019-11-01,112,48,11,47,41
Sudan,2019-12-01,119,106,12,56,37
